;playerName;teamName;mapsPlayed;winrate;KDratio;hltvImpact;KAST;Total kills;openingKills;OKratio;rifleKills;sniperKills;smgKills;pistolKills;Headshot %;Total deaths;Damage / Round;Grenade dmg / Round;Maps played;Rounds played;Kills / round;Assists / round;Deaths / round;Saved by teammate / round;Saved teammates / round;Rating 2.0
0;chopper;Spirit Jul 2023 - ;54;0.69;0.95;0.87;70.3;1583;202;0.71;1210;12;114;230;55.5;1672;67.8;4.7;97;2635;0.60;0.12;0.63;0.10;0.07;0.98
1;magixx;Spirit Jul 2023 - ;54;0.69;1.08;0.90;72.9;1657;202;0.95;1291;74;74;195;47.9;1531;71.4;5.4;97;2635;0.63;0.12;0.58;0.09;0.10;1.06
2;zont1x;Spirit Jul 2023 - ;54;0.69;1.10;1.12;72.7;3221;497;1.10;2563;31;126;446;41.0;2925;81.7;5.9;170;4585;0.70;0.15;0.64;0.09;0.09;1.14
3;donk;Spirit Jul 2023 - ;54;0.69;1.23;1.39;72.8;3825;713;1.32;3132;35;20;602;61.8;3108;88.2;4.1;170;4581;0.83;0.12;0.68;0.10;0.14;1.25
4;ArtFr0st;Spirit Jul 2023 - ;54;0.69;1.35;1.07;75.3;3292;519;2.20;545;2250;59;395;22.8;2446;70.7;3.6;170;4585;0.72;0.07;0.53;0.09;0.10;1.18
5;chopper;Spirit Feb 2023 - Apr 2023;42;0.38;0.95;0.87;70.3;1583;202;0.71;1210;12;114;230;55.5;1672;67.8;4.7;97;2635;0.60;0.12;0.63;0.10;0.07;0.98
6;magixx;Spirit Feb 2023 - Apr 2023;42;0.38;1.04;1.10;73.4;2599;443;0.96;2024;9;146;376;49.0;2501;77.0;5.7;142;3797;0.68;0.13;0.66;0.12;0.11;1.10
7;s1ren;Spirit Feb 2023 - Apr 2023;42;0.38;1.03;0.94;73.1;1399;171;0.93;1090;5;36;260;59.2;1361;72.0;3.2;82;2119;0.66;0.13;0.64;0.12;0.11;1.05
8;Patsi;Spirit Feb 2023 - Apr 2023;42;0.38;0.91;1.06;67.2;1375;268;0.82;1094;13;35;215;42.6;1513;74.6;4.3;78;2093;0.66;0.12;0.72;0.10;0.09;0.99
9;w0nderful;Spirit Feb 2023 - Apr 2023;42;0.38;1.42;1.18;76.0;2824;381;1.79;985;1340;40;432;33.4;1991;79.5;3.8;131;3548;0.80;0.09;0.56;0.08;0.14;1.25
10;apEX;Vitality Jul 2023 - ;39;0.72;0.87;0.85;68.3;1723;242;0.81;1339;12;100;227;41.9;1983;68.5;7.2;115;3053;0.56;0.15;0.65;0.09;0.07;0.94
11;Magisk;Vitality Jul 2023 - ;39;0.72;1.10;1.05;74.2;2076;298;1.06;1651;23;52;320;50.6;1895;77.3;6.9;115;3053;0.68;0.14;0.62;0.10;0.09;1.12
12;ZywOo;Vitality Jul 2023 - ;39;0.72;1.42;1.35;76.6;2478;417;1.57;1093;851;40;467;42.2;1739;82.6;3.5;115;3053;0.81;0.11;0.57;0.08;0.12;1.30
13;flameZ;Vitality Jul 2023 - ;39;0.72;1.04;1.10;73.4;2599;443;0.96;2024;9;146;376;49.0;2501;77.0;5.7;142;3797;0.68;0.13;0.66;0.12;0.11;1.10
14;Spinx;Vitality Jul 2023 - ;39;0.72;1.22;1.12;74.8;2296;321;1.24;1855;33;81;305;53.4;1877;79.3;3.5;115;3053;0.75;0.11;0.61;0.07;0.09;1.17
15;apEX;Vitality Jan 2023 - Jun 2023;68;0.72;1.42;1.35;76.6;2478;417;1.57;1093;851;40;467;42.2;1739;82.6;3.5;115;3053;0.81;0.11;0.57;0.08;0.12;1.30
16;dupreeh;Vitality Jan 2023 - Jun 2023;68;0.72;0.97;0.94;71.7;1145;191;0.94;878;15;73;164;48.5;1178;69.0;4.2;68;1854;0.62;0.13;0.64;0.11;0.09;1.01
17;Magisk;Vitality Jan 2023 - Jun 2023;68;0.72;1.35;1.07;75.3;3292;519;2.20;545;2250;59;395;22.8;2446;70.7;3.6;170;4585;0.72;0.07;0.53;0.09;0.10;1.18
18;ZywOo;Vitality Jan 2023 - Jun 2023;68;0.72;1.42;1.35;76.6;2478;417;1.57;1093;851;40;467;42.2;1739;82.6;3.5;115;3053;0.81;0.11;0.57;0.08;0.12;1.30
19;Spinx;Vitality Jan 2023 - Jun 2023;68;0.72;0.91;1.06;67.2;1375;268;0.82;1094;13;35;215;42.6;1513;74.6;4.3;78;2093;0.66;0.12;0.72;0.10;0.09;0.99
